FECHA|DEPARTAMENTO|PROVINCIA|DISTRITO|ZONA|BLOQUE|SEGMENTO|ID_POLI|TOTAL_LOTES|ORDEN_LOTE|P301|P301A|P301B1|P301B2|P301B3|P301C1|P301C2|P301C3|P301D|OBSERVACIONES
2021-10-14 15:20:11.038000|LA LIBERTAD|JULCAN|CALAMARCA|zona_5|bloque_17|130110614|13011061402|6|2|Lote en plantaciones forestales a nivel de variedad|00000001053, 00000000452|0.1000000000|052|10000|0.0500000000|052|10000|4.65| 
2021-10-14 15:20:11.038000|LA LIBERTAD|JULCAN|CALAMARCA|zona_5|bloque_17|130110614|13011061402|6|3|Lote en barbecho| |0.9000000000|052|10000|0.7000000000|052|10000|4.65| 
2021-10-14 15:20:11.038000|LA LIBERTAD|JULCAN|CALAMARCA|zona_5|bloque_17|130110614|13011061402|6|4|Lote en barbecho| |2.5000000000|052|10000|0.1000000000|052|10000|4.65| 
2021-10-14 15:20:11.038000|LA LIBERTAD|JULCAN|CALAMARCA|zona_5|bloque_17|130110614|13011061402|6|5|Lote en barbecho| |0.5000000000|052|10000|0.0500000000|052|10000|4.65| 
2021-10-14 15:20:11.038000|LA LIBERTAD|JULCAN|CALAMARCA|zona_5|bloque_17|130110614|13011061402|6|6|Lote en pastos naturales|00000001171|0.5000000000|052|10000|0.0500000000|052|10000|4.65| 
2021-10-14 16:24:49.930000|LA LIBERTAD|SANCHEZ CARRION|COCHORCO|zona_3|bloque_11|130133714|13013371401|4|1|Lote en descanso| |6.0000000000|052|10000|0.0000000000|052|10000|37.01| 
2021-10-14 16:24:49.930000|LA LIBERTAD|SANCHEZ CARRION|COCHORCO|zona_3|bloque_11|130133714|13013371401|4|2|Lote en pastos naturales|00000001171|13.0000000000|052|10000|0.0000000000|052|10000|37.01| 
2021-10-14 16:24:49.930000|LA LIBERTAD|SANCHEZ CARRION|COCHORCO|zona_3|bloque_11|130133714|13013371401|4|3|Lote en afloramientos rocosos, áreas sin vegetación o erosionadas, eriazas| |18.0000000000|052|10000|0.0000000000|052|10000|37.01| 
2021-10-14 16:24:49.930000|LA LIBERTAD|SANCHEZ CARRION|COCHORCO|zona_3|bloque_11|130133714|13013371401|4|4|Lote en otros usos (vivienda, patio, piscina, cancha deportiva, etc)| |0.0100000000|052|10000|0.0000000000|052|10000|37.01| 
2021-10-14 17:26:44.640000|LA LIBERTAD|SANCHEZ CARRION|MARCABAL|zona_3|bloque_10|130121514|13012151401|2|1|Lote en cultivo permanente a nivel de variedad|00000000696|0.2500000000|052|10000|0.0000000000|052|10000|2.75| 
